customer_id,full_name,phone_raw,address_raw,city,province,gender,dob,segment,branch,source_campaign,created_date,full_name_clean,phone_clean
C0001,Tran Thi Tu,,"7 Nguyen Thi Minh Khai, P.2",Hai Phong,Can Tho,Male,1985-05-06,VIP,Can Tho - Ninh Kieu,Event,2024-04-12,Tran Thi Tu,
C0002,nguyen ngoc khanh,+84922713332,"138 Le Loi, P.7",Ho Chi Minh,Hai Phong,Female,2019-09-23,SME,Can Tho - Ninh Kieu,Branch referral,2024-09-27,Nguyen Ngoc Khanh,0922713332
C0003,tran thi trang,0798834813,"156 Tran Hung Dao, P.10",Ha Noi,Ha Noi,Female,2015-09-30,VIP,Ha Noi - Hoan Kiem,Partnership,2024-03-12,Tran Thi Trang,0798834813
C0004,Pham Minh An,+84888409572,"227 Pham Van Dong, P.2",Da Nang,Ha Noi,Male,1998-09-09,SME,Can Tho - Ninh Kieu,Old customer list,2024-01-21,Pham Minh An,0888409572
C0005,Dang Minh Trang,,"120 Nguyen Thi Minh Khai, P.5",Hai Phong,TP.HCM,Male,1984-04-07,SME,Ha Noi - Hoan Kiem,Online form,2024-05-01,Dang Minh Trang,
C0006,hoang quang nam,,"51 Tran Hung Dao, P.5",Ha Noi,Hai Phong,Male,1995-02-09,SME,Da Nang - Hai Chau,Online form,2024-08-02,Hoang Quang Nam,
C0007,Tran Minh Tu,+84308904077,"243 Nguyen Thi Minh Khai, P.2",Da Nang,Hai Phong,Female,2014-11-06,Retail,Can Tho - Ninh Kieu,Branch referral,2024-03-28,Tran Minh Tu,0308904077
C0008,hoang quang loan,0984 200 550,"18 Nguyen Trai, P.5",Ho Chi Minh,Hai Phong,Male,2013-05-30,SME,Da Nang - Hai Chau,Branch referral,2024-04-09,Hoang Quang Loan,0984200550
C0009,Do Ngoc Phuc,0978104447,"104 Hai Ba Trung, P.1",Ha Noi,Ha Noi,Male,2005-10-10,VIP,HCM - Phu Nhuan,Old customer list,2024-05-31,Do Ngoc Phuc,0978104447
C0010,Le Hong Phuc,0980 880 650,"43 Ly Thuong Kiet, P.7",Can Tho,Ha Noi,Female,1985-02-04,Mass,HCM - Phu Nhuan,Old customer list,2024-05-29,Le Hong Phuc,0980880650
C0011,nguyen quang tu,,"189 Nguyen Thi Minh Khai, P.1",Da Nang,TP.HCM,Male,2002-01-06,VIP,Can Tho - Ninh Kieu,Partnership,2024-12-09,Nguyen Quang Tu,
C0012,Le Thi Quyen,,"21 Ly Thuong Kiet, P.15",Hai Phong,Hai Phong,Female,1996-10-26,SME,HCM - Phu Nhuan,Event,2024-07-10,Le Thi Quyen,
C0013,Pham Hong Khanh,,"55 Nguyen Thi Minh Khai, P.5",Ha Noi,Da Nang,Male,1986-03-26,Retail,Ha Noi - Hoan Kiem,Event,2024-10-03,Pham Hong Khanh,
C0014,LE ANH QUYEN,0339-856-591,"30 Le Loi, P.15",Hai Phong,Ha Noi,Female,2016-09-09,SME,Can Tho - Ninh Kieu,Branch referral,2024-11-09,Le Anh Quyen,0339856591
C0015,VO HOAI TU,0749 804 207,"190 Pham Van Dong, P.10",Can Tho,Hai Phong,Male,2018-09-05,Mass,HCM - District 1,Branch referral,2024-09-09,Vo Hoai Tu,0749804207
C0016,DO THI LOAN,0354039903,"91 Nguyen Thi Minh Khai, P.7",Hai Phong,Ha Noi,Male,2006-09-19,Retail,HCM - Phu Nhuan,Old customer list,2024-12-10,Do Thi Loan,0354039903
C0017,nguyen ngoc loan,0388 827 188,"210 Pham Van Dong, P.5",Da Nang,Ha Noi,Male,1989-12-29,Mass,HCM - Phu Nhuan,Old customer list,2024-02-28,Nguyen Ngoc Loan,0388827188
C0018,vo hong binh,0535-683-082,"10 Le Loi, P.10",Can Tho,Da Nang,Female,1988-08-05,VIP,Can Tho - Ninh Kieu,Partnership,2024-06-18,Vo Hong Binh,0535683082
C0019,tran quang trang,0804586971,"243 Hai Ba Trung, P.10",Da Nang,TP.HCM,Female,2008-02-02,SME,Da Nang - Hai Chau,Event,2024-07-06,Tran Quang Trang,0804586971
C0020,Dang Hong Quyen,0716-371-548,"54 Ly Thuong Kiet, P.10",Hai Phong,Da Nang,Female,1983-07-05,VIP,Da Nang - Hai Chau,Branch referral,2024-09-27,Dang Hong Quyen,0716371548
C0021,DO ANH NAM,0305 638 762,"7 Nguyen Trai, P.2",Can Tho,Hai Phong,Male,1991-03-21,VIP,Da Nang - Hai Chau,Partnership,2024-06-23,Do Anh Nam,0305638762
C0022,pham quang phuc,+84526077141,"13 Nguyen Thi Minh Khai, P.2",Ho Chi Minh,Can Tho,Male,1988-03-10,VIP,Can Tho - Ninh Kieu,Partnership,2024-02-20,Pham Quang Phuc,0526077141
C0023,vo anh quyen,+84585874226,"161 Dien Bien Phu, P.5",Can Tho,TP.HCM,Female,1986-06-17,Retail,Ha Noi - Hoan Kiem,Event,2024-02-24,Vo Anh Quyen,0585874226
C0024,Vo Thanh Binh,+84813124340,"232 Nguyen Trai, P.10",Can Tho,Can Tho,Male,1987-03-05,SME,Ha Noi - Hoan Kiem,Old customer list,2024-11-15,Vo Thanh Binh,0813124340
C0025,DANG THANH QUYEN,0884 243 677,"160 Nguyen Thi Minh Khai, P.1",Can Tho,Hai Phong,Male,1992-09-22,Mass,Da Nang - Hai Chau,Branch referral,2024-05-10,Dang Thanh Quyen,0884243677
C0026,bui ngoc an,+84932373782,"5 Nguyen Thi Minh Khai, P.1",Da Nang,Ha Noi,Male,2007-03-10,Mass,HCM - District 1,Branch referral,2024-11-02,Bui Ngoc An,0932373782
C0027,Pham Thi Nam,0916 526 716,"247 Cach Mang Thang 8, P.1",Hai Phong,TP.HCM,Female,2013-04-29,VIP,Da Nang - Hai Chau,Branch referral,2024-01-21,Pham Thi Nam,0916526716
