call_id,customer_id,call_date,call_time,agent_id,call_duration_sec,call_result,sentiment,product_pitched,notes,call_duration_min,full_name,phone_raw,address_raw,city,province,gender,dob,segment,branch,source_campaign,created_date,full_name_clean,phone_clean
CL00001,C0003,2024-09-02,14:28,AG07,46,Busy,,Personal Loan,,0.7666666666666667,tran thi trang,0798834813,"156 Tran Hung Dao, P.10",Ha Noi,Ha Noi,Female,2015-09-30,VIP,Ha Noi - Hoan Kiem,Partnership,2024-03-12,Tran Thi Trang,0798834813
CL00002,C0003,2024-01-26,10:49,AG05,427,Registered Product,Negative,Savings Account,Customer agreed to open product.,7.116666666666666,tran thi trang,0798834813,"156 Tran Hung Dao, P.10",Ha Noi,Ha Noi,Female,2015-09-30,VIP,Ha Noi - Hoan Kiem,Partnership,2024-03-12,Tran Thi Trang,0798834813
CL00003,C0004,2024-11-08,11:44,AG01,39,Connected - Not Interested,Neutral,Savings Account,Customer refused politely.,0.65,Pham Minh An,+84888409572,"227 Pham Van Dong, P.2",Da Nang,Ha Noi,Male,1998-09-09,SME,Can Tho - Ninh Kieu,Old customer list,2024-01-21,Pham Minh An,0888409572
CL00004,C0004,2024-09-20,19:50,AG07,490,Registered Product,Positive,Credit Card,Customer agreed to open product.,8.166666666666666,Pham Minh An,+84888409572,"227 Pham Van Dong, P.2",Da Nang,Ha Noi,Male,1998-09-09,SME,Can Tho - Ninh Kieu,Old customer list,2024-01-21,Pham Minh An,0888409572
CL00005,C0004,2024-04-01,09:01,AG07,36,Busy,,Term Deposit,,0.6,Pham Minh An,+84888409572,"227 Pham Van Dong, P.2",Da Nang,Ha Noi,Male,1998-09-09,SME,Can Tho - Ninh Kieu,Old customer list,2024-01-21,Pham Minh An,0888409572
CL00006,C0005,2024-12-07,10:24,AG06,594,Connected - Interested,Positive,Personal Loan,,9.9,Dang Minh Trang,,"120 Nguyen Thi Minh Khai, P.5",Hai Phong,TP.HCM,Male,1984-04-07,SME,Ha Noi - Hoan Kiem,Online form,2024-05-01,Dang Minh Trang,
CL00007,C0005,2024-05-04,13:57,AG06,589,Connected - Not Interested,Neutral,Savings Account,Customer refused politely.,9.816666666666666,Dang Minh Trang,,"120 Nguyen Thi Minh Khai, P.5",Hai Phong,TP.HCM,Male,1984-04-07,SME,Ha Noi - Hoan Kiem,Online form,2024-05-01,Dang Minh Trang,
CL00008,C0007,2024-06-18,13:14,AG03,58,Wrong Number,,Savings Account,Phone number incorrect.,0.9666666666666667,Tran Minh Tu,+84308904077,"243 Nguyen Thi Minh Khai, P.2",Da Nang,Hai Phong,Female,2014-11-06,Retail,Can Tho - Ninh Kieu,Branch referral,2024-03-28,Tran Minh Tu,0308904077
CL00009,C0007,2024-04-10,08:07,AG04,57,Call Back Later,,Term Deposit,Customer asked to be called again next week.,0.95,Tran Minh Tu,+84308904077,"243 Nguyen Thi Minh Khai, P.2",Da Nang,Hai Phong,Female,2014-11-06,Retail,Can Tho - Ninh Kieu,Branch referral,2024-03-28,Tran Minh Tu,0308904077
CL00010,C0007,2024-04-17,12:38,AG06,8,Busy,,Personal Loan,,0.13333333333333333,Tran Minh Tu,+84308904077,"243 Nguyen Thi Minh Khai, P.2",Da Nang,Hai Phong,Female,2014-11-06,Retail,Can Tho - Ninh Kieu,Branch referral,2024-03-28,Tran Minh Tu,0308904077
